Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Imperial College,100.0,81,82,97,10,16.8,87,8,232,69
2,Bath,98.4,90,92,98,7,17.7,87,8,198,70
3,Leeds,95.3,88,89,95,7,19.8,86,9,194,74
4,Bristol,94.3,89,92,97,9,15.1,79,6,210,71
5,Loughborough,92.8,87,90,97,7,10.6,86,4,168,71
6,Southampton,89.9,86,84,94,6,12.7,83,7,185,70
7,Coventry,89.7,88,88,91,4,11.6,85,8,135,75
8,Heriot-Watt,87.6,93,93,92,7,16.8,87,8,177,65
8,UCL,87.6,73,70,93,9,8.5,92,6,199,53
10,Lancaster,85.2,75,84,91,9,12.2,88,7,165,69
11,Teesside,83.6,92,90,89,7,25.2,80,9,127,82
12,Nottingham,83.1,86,83,97,9,15.0,82,5,169,64
13,Sunderland,82.3,89,89,89,9,16.3,,7,,75
14,Surrey,81.8,89,92,97,5,19.4,75,8,165,75
15,Huddersfield,81.7,75,83,92,3,13.8,91,9,129,60
16,Greenwich,81.5,90,79,88,4,12.9,,7,143,72
17,Liverpool John Moores,81.4,84,86,92,5,14.3,82,7,133,73
18,Derby,81.1,88,86,92,3,14.3,82,5,128,72
19,Dundee,79.2,70,75,94,5,14.2,,9,168,63
20,Lincoln,78.9,91,88,,5,,,6,120,80
21,Bradford,78.4,76,80,89,4,16.0,87,9,124,64
22,Birmingham,78.1,83,86,97,5,31.2,90,10,168,70
23,Newcastle,78.0,82,81,95,9,14.7,84,4,154,60
24,Anglia Ruskin,76.3,89,92,,4,14.2,,6,87,78
24,UWE Bristol,76.3,83,81,93,4,16.4,82,9,125,61
26,Plymouth,76.0,86,87,94,4,15.4,78,6,125,73
27,Portsmouth,75.7,84,89,92,3,19.7,81,9,112,73
28,Glasgow,75.3,79,82,92,9,16.2,86,3,202,64
29,Harper Adams,73.9,89,90,,6,13.6,84,3,111,72
30,Glynd?r,73.7,87,94,,2,17.7,,4,,80
31,Sheffield,73.6,82,83,98,,19.5,87,3,165,64
32,Exeter,72.2,78,72,97,3,14.2,82,6,169,50
33,Oxford Brookes,71.4,83,81,94,4,17.6,75,8,142,66
34,Strathclyde,68.2,82,81,93,6,19.7,78,6,210,54
35,Brunel,67.7,78,77,93,,15.2,79,6,147,59
35,Edinburgh,67.7,74,67,95,10,15.0,79,5,188,47
37,Solent,67.6,80,74,84,10,11.9,,5,111,61
38,Sussex,67.3,73,78,96,6,17.0,83,3,128,63
39,Northumbria,66.1,72,81,91,3,17.8,71,9,142,64
40,London South Bank,65.4,79,75,80,3,16.9,84,6,115,72
41,Swansea,65.2,72,72,93,4,18.8,87,4,146,62
42,Hull,64.9,79,81,90,5,20.8,89,4,121,64
43,Trinity Saint David,62.9,85,87,86,2,13.0,74,2,94,77
44,Ulster,62.7,79,76,91,3,20.2,82,5,125,67
45,Manchester,61.8,68,69,96,8,17.8,82,3,174,48
46,Birmingham City,61.3,70,76,92,3,23.1,,9,113,68
46,Queen's Belfast,61.3,78,77,96,4,19.1,80,3,150,69
48,Aston,61.0,84,78,95,6,18.3,75,3,141,63
49,Liverpool,60.8,81,79,95,8,16.9,77,2,142,64
50,Robert Gordon,60.7,73,85,96,6,18.1,71,7,162,58
51,Wolverhampton,60.4,76,77,,3,15.2,,,81,68
52,Hertfordshire,60.2,84,81,91,3,20.4,76,7,118,65
53,Cardiff,59.2,68,73,87,8,16.8,81,6,162,57
54,City,58.0,84,82,87,8,18.4,,5,126,69
55,West of Scotland,57.5,79,84,,3,28.9,84,7,144,65
56,Central Lancashire,56.0,73,73,88,5,10.3,80,1,135,50
57,De Montfort,55.5,82,88,85,2,19.5,72,4,113,75
58,Sheffield Hallam,54.9,83,81,87,4,12.8,72,4,117,57
59,Salford,51.2,78,78,86,2,18.4,70,6,133,64
60,Glasgow Caledonian,51.1,84,82,85,4,18.4,,2,138,65
61,Middlesex,50.2,61,55,,4,9.2,,,88,57
62,Staffordshire,49.3,81,74,86,5,14.9,70,1,112,70
63,Manchester Met,48.7,74,75,85,3,12.5,69,3,125,60
64,Queen Mary,47.4,74,68,94,7,19.6,72,3,136,53
65,Bolton,45.5,84,71,84,10,,,1,104,67
66,Kingston,42.6,73,76,86,4,18.7,62,6,113,60
67,South Wales,35.2,59,54,84,3,16.0,76,3,115,52
